inner_id,id,dialogue,original movie dialogue,movie name,agreement,annotator_1,manipulative_1,technique_1,victim_1,vulnerability_1,marks_1,confidence_1,annotator_2,manipulative_2,technique_2,victim_2,vulnerability_2,marks_2,confidence_2,annotator_3,manipulative_3,technique_3,victim_3,vulnerability_3,marks_3,confidence_3
0,85517654,"Person1: I can almost feel your doubt about what I'm saying, Mary.
Person2: I can't give up looking for her, Mrs. Redi, no matter what you're hinting at.
Person1: I have no intention whatsoever of hinting. Your sister, Mary, is a murderess. She killed Irving August -- stabbed him out of fright when he discovered where she was hiding.
Person2: I don't believe it.
Person1: I had to help get rid of the body. You saw it on the subway. And I warn you, Mary -- go back -- you don't know what you're doing, or what dreadful things you might bring about by looking for your sister. You go back to school - - go back and forget Jacqueline.","MRS. REDI(?):I can almost feel your doubt about what I'm saying, Mary. 
MARY(f):I can't give up looking for her, Mrs. Redi, no matter what you're hinting at. 
MRS. REDI(?):I have no intention whatsoever of hinting. Your sister, Mary, is a murderess. She killed Irving August -- stabbed him out of fright when he discovered where she was hiding. 
MARY(f):I don't believe it. 
MRS. REDI(?):I had to help get rid of the body. You saw it on the subway. And I warn you, Mary -- go back -- you don't know what you're doing, or what dreadful things you might bring about by looking for your sister. You go back to school - - go back and forget Jacqueline.",the seventh victim,100.0,AN16,1,Intimidation,1,Naivete,"I had to help get rid of the body. You saw it on the subway. And I warn you, Mary -- go back -- you don't know what you're doing, or what dreadful things you might bring about by looking for your sister. You go back to school - - go back and forget Jacqueline. <break> I have no intention whatsoever of hinting. Your sister, Mary, is a murderess. She killed Irving August -- stabbed him out of fright when he discovered where she was hiding. <break> I can almost feel your doubt about what I'm saying, Mary.",3,AN8,1,Persuasion or Seduction,0,,,3,AN1,1,Intimidation,1,Over-intellectualization,"I had to help get rid of the body. You saw it on the subway. And I warn you, Mary -- go back -- you don't know what you're doing, or what dreadful things you might bring about by looking for your sister.",3
1,85517489,"Person1: She's a charming girl, isn't she, Mitch?
Person2: Yes, very.
Person1: And certainly pretty.
Person2: Yes.
Person1: How long have you known her?
Person2: I told you. We met yesterday.
Person1: In a bird shop.
Person2: Yes.
Person1: She was selling birds.
Person2: No. I only led her into believing I believed she was... Mother, it's really very complicated.
Person1: But she did buy the lovebirds and then brought them all the way...
Person2: Mother, where did you go to law school?
Person1: Forgive me. I suppose I'm just naturally curious about a girl like that.  She's very rich, isn't she?
Person2: I suppose so. Her father owns a big newspaper in San Francisco.
Person1: You'd think he could manage to keep her name out of print. She's always mentioned in the columns, Mitch.
Person2: I know, Mother.
Person1: She is the one who jumped into that fountain in Rome last summer, isn't she?
Person2: Yes, Mother.
Person1: Perhaps I'm old-fashioned.  I know it was supposed to be very warm there, Mitch, but... well... actually... well, the newspaper said she was naked.
Person2: I know, Mother.
Person1: It's none of my business, of course, but when you bring a girl like that to...
Person2: Mother?
Person1: Yes?
Person2: I think I can handle Melanie Daniels by myself.
Person1: Well...  So long as you know what you want, Mitch.
Person2: I know exactly what I want, Mother.","LYDIA(f):She's a charming girl, isn't she, Mitch? 
MITCH(m):Yes, very. 
LYDIA(f):And certainly pretty. 
MITCH(m):Yes. 
LYDIA(f):How long have you known her? 
MITCH(m):I told you. We met yesterday. 
LYDIA(f):In a bird shop. 
MITCH(m):Yes. 
LYDIA(f):She was selling birds. 
MITCH(m):No. I only led her into believing I believed she was... Mother, it's really very complicated. 
LYDIA(f):But she did buy the lovebirds and then brought them all the way... 
MITCH(m):Mother, where did you go to law school? 
LYDIA(f):Forgive me. I suppose I'm just naturally curious about a girl like that.  She's very rich, isn't she? 
MITCH(m):I suppose so. Her father owns a big newspaper in San Francisco. 
LYDIA(f):You'd think he could manage to keep her name out of print. She's always mentioned in the columns, Mitch. 
MITCH(m):I know, Mother. 
LYDIA(f):She is the one who jumped into that fountain in Rome last summer, isn't she? 
MITCH(m):Yes, Mother. 
LYDIA(f):Perhaps I'm old-fashioned.  I know it was supposed to be very warm there, Mitch, but... well... actually... well, the newspaper said she was naked. 
MITCH(m):I know, Mother. 
LYDIA(f):It's none of my business, of course, but when you bring a girl like that to... 
MITCH(m):Mother? 
LYDIA(f):Yes? 
MITCH(m):I think I can handle Melanie Daniels by myself. 
LYDIA(f):Well...  So long as you know what you want, Mitch. 
MITCH(m):I know exactly what I want, Mother.",the birds,33.33333333333333,AN13,0,,0,,,3,AN1,1,Persuasion or Seduction,1,"Over-responsibility,Over-intellectualization","Well... So long as you know what you want, Mitch. <break> It's none of my business, of course, but when you bring a girl like that to...",4,AN14,0,,0,,,4
2,85515383,"Person1: Well... yes, quite possibly.
Person2: Possibly.  Good.  Well, would you be willing to accept the theory, George, that... possibly... by examining the evidence from one case we might shed some small ray of light on the other?  Does that sound unreasonable to you?
Person1: Yes... no, it is not unreasonable. Although I--
Person2: Great.  Well, I'm sure glad that's settled, aren't you?","JETSON(M):Well... yes, quite possibly. 
SYKES(m):Possibly.  Good.  Well, would you be willing to accept the theory, George, that... possibly... by examining the evidence from one case we might shed some small ray of light on the other?  Does that sound unreasonable to you? 
JETSON(M):Yes... no, it is not unreasonable. Although I-- 
SYKES(m):Great.  Well, I'm sure glad that's settled, aren't you?",alien nation,100.0,AN1,1,"Rationalization,Persuasion or Seduction",1,Over-intellectualization,"Great. Well, I'm sure glad that's settled, aren't you? <break> would you be willing to accept the theory, George, that... possibly... by examining the evidence from one case we might shed some small ray of light on the other? Does that sound unreasonable to you?",5,AN12,1,Evasion,1,cannot decide,"Well, I'm sure glad that's settled, aren't you?",3,AN14,1,cannot decide,1,Naivete,,3
3,85516931,"Person1: Ahh, sunshine.
Person2: You're going to be late if you don't hurry up and change soon.
Person1: Change? What's wrong with what I got on?
Person2: It's dirty laundry for one thing and for another, you still haven't worn the clothes I bought you. You're skating on thin ice already, young man, so I wouldn't push my luck. Now get out of those rags.
Person1: But, mom!
Person2: Besides, those jeans are so tight I can see your penis.","JAM(m):Ahh, sunshine. 
MRS. BRUCE(?):You're going to be late if you don't hurry up and change soon. 
JAM(m):Change? What's wrong with what I got on? 
MRS. BRUCE(?):It's dirty laundry for one thing and for another, you still haven't worn the clothes I bought you. You're skating on thin ice already, young man, so I wouldn't push my luck. Now get out of those rags. 
JAM(m):But, mom! 
MRS. BRUCE(?):Besides, those jeans are so tight I can see your penis.",detroit rock city,100.0,AN7,1,Persuasion or Seduction,1,"Naivete,Dependency","It's dirty laundry for one thing and for another, you still haven't worn the clothes I bought you. You're skating on thin ice already, young man, so I wouldn't push my luck. Now get out of those rags.",4,AN1,1,"Shaming or Belittlement,Intimidation",1,"Dependency,Low self-esteem","It's dirty laundry for one thing and for another, you still haven't worn the clothes I bought you. You're skating on thin ice already, young man, so I wouldn't push my luck. Now get out of those rags.",5,AN13,1,cannot decide,1,Dependency,,3
4,85517588,"Person1: Where 're you going?
Person2: I'm not like you.
Person1: What...?
Person2: I'm not a dyke, okay, and we're not in love. We were just... I was just experimenting.","TAMMY(?):Where 're you going? 
LISA(?):I'm not like you. 
TAMMY(?):What...? 
LISA(?):I'm not a dyke, okay, and we're not in love. We were just... I was just experimenting.",election,33.33333333333333,AN13,0,,0,,,3,AN1,0,,0,,,3,AN14,1,"Evasion,Shaming or Belittlement",0,,"I'm not like you. <break> I'm not a dyke, okay, and we're not in love.",4
5,85517562,"Person1: No! I won't have him back.
Person2: But he needs to be here in Salzburg, Your Grace. He needs me and he needs you. Your protection, your understanding.
Person1: Hardly.
Person2: Oh sir, yes! He's about to make the worst mistake of his life. Some little Viennese slut is trying to trick him into marriage. I know my son. He is too simple to see the trap - and there is no one there who really cares for him.
Person1: I'm not surprised. Money seems to be more important to him than loyalty or friendship. He has sold himself to Vienna. Let Vienna look out for him.
Person2: Sir -
Person1: Your son is an unprincipled, spoiled, conceited brat.
Person2: Yes, sir, that's the truth. But don't blame him. The fault is mine. I was too indulgent with him. But not again. Never again, I promise! I implore you - let me bring him back here. I'll make him give his word to serve you faithfully.
Person1: And how will you make him keep it?
Person2: Oh, sir, he's never disobeyed me in anything. Please, Your Grace, give him one more chance.
Person1: You have leave to try.
Person2: Oh, Your Grace - I thank Your Grace! I thank you!","COLLOREDO(?):No! I won't have him back. 
LEOPOLD(m):But he needs to be here in Salzburg, Your Grace. He needs me and he needs you. Your protection, your understanding. 
COLLOREDO(?):Hardly. 
LEOPOLD(m):Oh sir, yes! He's about to make the worst mistake of his life. Some little Viennese slut is trying to trick him into marriage. I know my son. He is too simple to see the trap - and there is no one there who really cares for him. 
COLLOREDO(?):I'm not surprised. Money seems to be more important to him than loyalty or friendship. He has sold himself to Vienna. Let Vienna look out for him. 
LEOPOLD(m):Sir - 
COLLOREDO(?):Your son is an unprincipled, spoiled, conceited brat. 
LEOPOLD(m):Yes, sir, that's the truth. But don't blame him. The fault is mine. I was too indulgent with him. But not again. Never again, I promise! I implore you - let me bring him back here. I'll make him give his word to serve you faithfully. 
COLLOREDO(?):And how will you make him keep it? 
LEOPOLD(m):Oh, sir, he's never disobeyed me in anything. Please, Your Grace, give him one more chance. 
COLLOREDO(?):You have leave to try. 
LEOPOLD(m):Oh, Your Grace - I thank Your Grace! I thank you!",amadeus,100.0,AN13,1,Persuasion or Seduction,0,,"Oh, sir, he's never disobeyed me in anything. Please, Your Grace, give him one more chance.",3,AN1,1,Persuasion or Seduction,1,Dependency,"Oh, sir, he's never disobeyed me in anything. Please, Your Grace, give him one more chance.",3,AN14,1,"Feigning Innocence,Rationalization,Persuasion or Seduction",1,Over-intellectualization,"But he needs to be here in Salzburg, Your Grace. He needs me and he needs you. Your protection, your understanding <break> Yes, sir, that's the truth. But don't blame him. The fault is mine. I was too indulgent with him. But not again. Never again, I promise! I implore you - let me bring him back here. I'll make him give his word to serve you faithfully. <break> h, sir, he's never disobeyed me in anything. Please, Your Grace, give him one more chance.",4
6,85514498,"Person1: It's true.
Person2: I'm tryin' to keep you from being hurt What more do you want?
Person1: Much more, Terry. Much, much more!","EDIE(f):It's true. 
TERRY(m):I'm tryin' to keep you from being hurt What more do you want? 
EDIE(f):Much more, Terry. Much, much more!",on the waterfront,100.0,AN1,1,"Rationalization,Playing Servant Role,Accusation",1,"Dependency,Low self-esteem",I'm tryin' to keep you from being hurt What more do you want?,4,AN11,1,"Playing Servant Role,Brandishing Anger",1,"Dependency,Over-responsibility",I'm tryin' to keep you from being hurt What more do you want?,3,AN15,1,"Feigning Innocence,Playing Victim Role",1,"Dependency,Over-intellectualization",,4
7,85514689,"Person1: Dude.
Person2: You are approaching a vooden britch. When you cross it you srow ze bag from ze left vindow of ze moving kar.  Do not slow down.  Vee vatch you.","DUDE(m):Dude. 
VOICE(?):You are approaching a vooden britch. When you cross it you srow ze bag from ze left vindow of ze moving kar.  Do not slow down.  Vee vatch you.",the big lebowski,100.0,AN4,0,,0,,,5,AN1,0,,0,,,5,AN11,0,,0,,,5
8,85514607,"Person1: Yummy. Carl says if I lose ten pounds, he'll take me to the University of Maryland Fall Mixer.
Person2: Misty, if you want to lose weight go ahead, but do it for yourself, not for some boy you barely know.","MISTY(?):Yummy. Carl says if I lose ten pounds, he'll take me to the University of Maryland Fall Mixer. 
MOM(f):Misty, if you want to lose weight go ahead, but do it for yourself, not for some boy you barely know.",serial mom,100.0,AN10,0,,0,,,4,AN1,0,,0,,,5,AN4,0,,0,,,4
9,85515595,"Person1: But, sire, Your Majesty would lay Paris open to being sacked.  The enemy is outside the gates with more than 120,000 men.  Besides this, I left the city under the terms of a treaty and I am forbidden to reenter Paris.
Person2: A treaty?  Don't be ridiculous. What treaty is this?  Who made it? Who has been giving orders?
Person1: I don't know the details of the treaty, sire, Marshal Mortier sent me word of its having been agreed to, and he said that I was to take the army and make for Fontainebleau.
Person2: But who made this treaty?
Person1: I believe it was arranged by Marshals Mortier and Marmont.  I must explain to you that we have had no orders all day.  Each marshal has been keeping his own position.
Person2: Who sent my wife and son out of Paris?
Person1: I don't know, sire.
Person2: And where is Joseph?
Person1: I don't know what has happened to Prince Joseph.
Person2: What cowardice!  What treason! Joseph has ruined everything.  How could they all lose their heads. They knew I was coming up fast. Victory was just within grasp. Come, come, turn your troops around, General Belliard.","BELLIARD(?):But, sire, Your Majesty would lay Paris open to being sacked.  The enemy is outside the gates with more than 120,000 men.  Besides this, I left the city under the terms of a treaty and I am forbidden to reenter Paris. 
NAPOLEON(m):A treaty?  Don't be ridiculous. What treaty is this?  Who made it? Who has been giving orders? 
BELLIARD(?):I don't know the details of the treaty, sire, Marshal Mortier sent me word of its having been agreed to, and he said that I was to take the army and make for Fontainebleau. 
NAPOLEON(m):But who made this treaty? 
BELLIARD(?):I believe it was arranged by Marshals Mortier and Marmont.  I must explain to you that we have had no orders all day.  Each marshal has been keeping his own position. 
NAPOLEON(m):Who sent my wife and son out of Paris? 
BELLIARD(?):I don't know, sire. 
NAPOLEON(m):And where is Joseph? 
BELLIARD(?):I don't know what has happened to Prince Joseph. 
NAPOLEON(m):What cowardice!  What treason! Joseph has ruined everything.  How could they all lose their heads. They knew I was coming up fast. Victory was just within grasp. Come, come, turn your troops around, General Belliard.",napoleon,33.33333333333333,AN12,0,,0,,,1,AN10,1,Rationalization,0,,I must explain to you that we have had no orders all day. Each marshal has been keeping his own position.,2,AN1,0,,0,,,4
